procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 116324  15148 1431036   0    0     0 19440 42764 95729 20 32 49 0 0  0
 8  0      0 115344  15160 1431812   0    0     0    64 43143 98012 19 31 49 0 0  0
16  0      0 114616  15160 1432708   0    0     0    32 44641 96797 21 32 47 0 0  0
 7  0      0 113132  15160 1433892   0    0     0    24 47457 107298 21 34 45 0 0 0
 2  0      0 112424  15160 1434864   0    0     0     0 46682 104411 19 29 52 0 0 0
 2  0      0 122456  15148 1433404   0    0     0    24 44435 98263 19 34 47 0 0  0
 0  0      0 120056  15156 1434636   0    0     4    32 44352 99458 18 31 51 0 0  0
 0  0      0 118292  15156 1435228   0    0     0    36 42792 93716 19 28 53 0 0  0
 2  0      0 112048  15156 1436340   0    0     0     0 43115 97511 19 32 49 0 0  0
 0  0      0 122896  15084 1430108   0    0     0    84 44968 101175 21 32 47 0 0 0
 8  0      0 119156  15084 1431224   0    0    28    24 43719 99089 19 33 48 0 0  0
 0  0      0 118040  15092 1431980   0    0    92    76 29366 64793 30 46 23 0 0  0
16  0      0 115804  15100 1433240   0    0     0    60 43967 98953 19 30 50 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 113884  15100 1434600   0    0   504    24 42672 95894 18 30 51 0 0  0
 1  0      0 111112  15100 1435480   0    0     0     0 42961 96514 20 30 50 0 0  0
 3  0      0 125492  15000 1427788   0    0     0    28 46587 102992 21 32 47 0 0 0
 7  0      0 119848  15000 1429004   0    0    40     0 44259 99745 18 30 51 0 0  0
 6  0      0 115472  15008 1429876   0    0     0    72 42967 96854 22 32 46 0 0  0
 1  0      0 113484  15008 1430968   0    0     0     0 43029 95053 18 31 51 0 0  0
11  0      0 111500  15016 1431840   0    0     0    80 43363 98437 19 28 53 0 0  0
 4  0      0 127748  14896 1423488   0    0     0     0 43456 100317 18 31 50 0 0 0
 1  0      0 123184  14896 1424420   0    0     0    52 42764 96094 18 28 54 0 0  0
 7  0      0 120060  14896 1425516   0    0   100    56 44675 99380 22 33 45 0 0  0
 8  0      0 118324  14904 1426720   0    0     0    64 44895 102532 21 35 43 0 0 0
 0  0      0 116588  14904 1427544   0    0     0     0 43319 98334 19 31 50 0 0  0
 7  0      0 114096  14904 1428632   0    0     0 25308 45870 99788 21 34 45 0 0  0
 7  0      0 113100  14904 1429416   0    0    16    32 42459 94701 18 30 51 0 0  0
 8  0      0 111896  14916 1430560   0    0     0   112 43949 95633 21 34 45 0 0  0
 9  0      0 121924  14780 1421172   0    0     0     0 41922 93782 20 31 50 0 0  0
 2  0      0 120460  14780 1422368   0    0     4    32 45529 103567 20 31 50 0 0 0
11  0      0 115588  14780 1423120   0    0    68     0 42962 94476 17 29 54 0 0  0
 6  0      0 112588  14788 1424800   0    0     0    72 46871 106037 19 31 49 0 0 0
 5  0      0 111132  14788 1425568   0    0    68    32 44985 99417 20 33 47 0 0  0
 7  0      0 127084  14640 1418484   0    0   988    24 43438 96605 21 33 46 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 124288  14640 1419336   0    0     0     0 44308 98926 20 30 50 0 0  0
 3  0      0 121364  14640 1420424   0    0     0    28 43279 98758 18 30 52 0 0  0
 7  0      0 120160  14648 1421628   0    0   172    32 45117 101906 20 32 49 0 0 0
 2  0      0 118940  14648 1422668   0    0     0    40 45121 99598 21 31 48 0 0  0
 6  0      0 116992  14648 1423568   0    0   264     0 43517 97664 20 32 48 0 0  0
11  0      0 115732  14656 1425000   0    0     0    64 45388 101828 19 28 53 0 0 0
 5  0      0 195324  14656 1351036   0    0     0    20 44811 99872 18 30 53 0 0  0
10  0      0 192988  14656 1352000   0    0     0    52 43178 98480 21 35 44 0 0  0
 5  0      0 192052  14656 1352728   0    0     0    32 44570 96900 21 32 47 0 0  0
 5  0      0 189112  14656 1355340   0    0  1384    24 42798 94516 20 33 48 0 0  0
12  0      0 187736  14664 1356304   0    0     0    52 44356 99991 19 31 49 0 0  0
 8  0      0 184680  14672 1357420   0    0     0    48 44591 99599 19 33 47 0 0  0
13  0      0 183468  14672 1358100   0    0     0     0 41672 91834 18 31 50 0 0  0
 7  0      0 182992  14672 1359180   0    0     0    40 42712 96958 19 32 48 0 0  0
 2  0      0 182040  14672 1359920   0    0     0     0 44877 100518 21 33 46 0 0 0
 8  0      0 181060  14672 1361124   0    0     0    32 44892 100509 19 32 48 0 0 0
 3  0      0 177524  14680 1362076   0    0     0    80 40637 90965 19 30 52 0 0  0
 7  0      0 176608  14688 1363040   0    0    20 10252 44043 99880 20 31 49 0 0  0
 7  0      0 176184  14688 1364060   0    0     0    64 45412 102682 21 32 47 0 0 0
 7  0      0 175404  14688 1365168   0    0   100     4 44282 99614 20 32 48 0 0  0
 6  0      0 174144  14688 1365860   0    0     0    28 42775 95415 18 29 53 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 171372  14688 1367228   0    0     0     4 43801 96742 20 34 46 0 0  0
11  0      0 171120  14696 1367980   0    0     0    56 41501 93877 21 33 46 0 0  0
 9  0      0 169636  14704 1369124   0    0     0    52 42344 94854 22 32 47 0 0  0
 3  0      0 168908  14704 1369772   0    0     0    20 43967 99102 18 32 50 0 0  0
 4  0      0 167672  14704 1371112   0    0     0     4 43353 96716 20 32 47 0 0  0
 0  0      0 163156  14704 1371800   0    0     0    44 42108 92285 20 32 48 0 0  0
 6  0      0 162520  14704 1372920   0    0    28     4 41663 94158 19 30 51 0 0  0
 0  0      0 162044  14712 1373872   0    0     0    84 44525 99640 24 34 41 0 0  0
 0  0      0 168644  14712 1374868   0    0     0    24 43766 98326 20 33 47 0 0  0
