procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 6  0      0 284384  38500 1504132   0    0     0    24 37891 83982 15 24 61 0 0  0
13  0      0 284132  38500 1504932   0    0     0    24 38057 84646 16 25 60 0 0  0
 0  0      0 283152  38500 1505852   0    0     0    16 39362 87512 18 28 54 0 0  0
 0  0      0 282648  38500 1506484   0    0     0    24 40960 88691 15 25 60 0 0  0
 6  0      0 279372  38504 1507356   0    0     0    32 38306 84343 16 26 58 0 0  0
 2  0      0 278432  38504 1507952   0    0     0    28 39709 86300 15 24 61 0 0  0
 0  0      0 277704  38512 1508992   0    0     0    64 40456 90762 18 28 54 0 0  0
 3  0      0 277228  38520 1509820   0    0     0   108 40221 88065 15 26 59 0 0  0
 0  0      0 276976  38520 1510608   0    0     0     0 38178 84797 16 25 60 0 0  0
 0  0      0 275520  38520 1511156   0    0     0    28 39734 86069 17 25 58 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 274260  38520 1512224   0    0     0     0 40926 89974 17 25 58 0 0  0
 2  0      0 273000  38520 1512728   0    0     0    48 38261 85723 16 26 58 0 0  0
 1  0      0 271264  38528 1513800   0    0     0    48 38850 85479 16 26 58 0 0  0
 7  0      0 270032  38536 1514420   0    0     0    92 41977 91100 19 31 51 0 0  0
 0  0      0 269556  38536 1515404   0    0     0     0 37877 82441 16 25 60 0 0  0
 4  0      0 268800  38536 1516132   0    0     0 23460 40339 89809 17 28 55 0 0  0
 4  0      0 267572  38536 1516992   0    0     0     0 40690 89351 17 27 56 0 0  0
 0  0      0 267068  38536 1517736   0    0     0    84 40520 88166 16 24 60 0 0  0
 7  0      0 266092  38544 1518436   0    0     0    48 40666 88427 15 28 57 0 0  0
 4  0      0 264608  38552 1519428   0    0     0    56 41221 91197 18 29 53 0 0  0
11  0      0 263880  38552 1520012   0    0     0     0 35979 77102 15 22 64 0 0  0
 9  0      0 261640  38560 1520864   0    0     0   108 39916 88073 16 26 58 0 0  0
10  0      0 260884  38560 1521740   0    0     0    16 39040 86919 17 27 56 0 0  0
 0  0      0 260380  38560 1522492   0    0     0    24 41247 89727 15 28 57 0 0  0
 1  0      0 259400  38560 1523236   0    0     0     0 41955 92333 16 24 59 0 0  0
10  0      0 258392  38560 1524196   0    0     0    24 40920 89545 16 26 58 0 0  0
 0  0      0 257888  38568 1524900   0    0     0    36 40410 87858 16 26 58 0 0  0
 9  0      0 257636  38576 1525764   0    0     0   108 39854 87894 17 25 58 0 0  0
 0  0      0 256936  38576 1526600   0    0     0     0 38778 87238 16 25 58 0 0  0
 2  0      0 256712  38576 1527300   0    0     0    56 40674 90642 16 27 57 0 0  0
 0  0      0 255732  38576 1528284   0    0     0     0 39556 87281 17 26 57 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 9  0      0 253744  38576 1528900   0    0     0    48 39468 85273 14 24 62 0 0  0
 6  0      0 252036  38584 1529648   0    0     0    48 40341 87797 16 26 57 0 0  0
 0  0      0 251056  38592 1530436   0    0     0    60 39637 85994 16 25 59 0 0  0
 0  0      0 250328  38592 1531084   0    0     0     0 39324 85457 15 22 62 0 0  0
 0  0      0 249572  38592 1531872   0    0     0    24 41234 89543 17 24 59 0 0  0
 6  0      0 248368  38592 1532652   0    0     0    32 37857 80977 15 24 61 0 0  0
 3  0      0 246884  38600 1533488   0    0     0    84 40882 90290 17 27 56 0 0  0
